x,y,label,filename
2151,751,1,10257_idx5_x2151_y751_class1.png
1601,1651,1,10257_idx5_x1601_y1651_class1.png
2001,801,1,10257_idx5_x2001_y801_class1.png
1951,951,1,10257_idx5_x1951_y951_class1.png
1601,1501,1,10257_idx5_x1601_y1501_class1.png
1701,1551,1,10257_idx5_x1701_y1551_class1.png
1801,1751,1,10257_idx5_x1801_y1751_class1.png
1901,1001,1,10257_idx5_x1901_y1001_class1.png
1651,1751,1,10257_idx5_x1651_y1751_class1.png
1901,1701,1,10257_idx5_x1901_y1701_class1.png
1901,1501,1,10257_idx5_x1901_y1501_class1.png
1851,951,1,10257_idx5_x1851_y951_class1.png
1601,1601,1,10257_idx5_x1601_y1601_class1.png
1851,1601,1,10257_idx5_x1851_y1601_class1.png
1501,1051,1,10257_idx5_x1501_y1051_class1.png
1751,1701,1,10257_idx5_x1751_y1701_class1.png
1701,1451,1,10257_idx5_x1701_y1451_class1.png
1801,1551,1,10257_idx5_x1801_y1551_class1.png
1651,851,1,10257_idx5_x1651_y851_class1.png
1501,1301,1,10257_idx5_x1501_y1301_class1.png
2051,701,1,10257_idx5_x2051_y701_class1.png
1751,751,1,10257_idx5_x1751_y751_class1.png
1701,1801,1,10257_idx5_x1701_y1801_class1.png
1801,1351,1,10257_idx5_x1801_y1351_class1.png
2051,601,1,10257_idx5_x2051_y601_class1.png
1701,901,1,10257_idx5_x1701_y901_class1.png
1551,951,1,10257_idx5_x1551_y951_class1.png
1901,1751,1,10257_idx5_x1901_y1751_class1.png
2051,751,1,10257_idx5_x2051_y751_class1.png
1851,1751,1,10257_idx5_x1851_y1751_class1.png
1851,1801,1,10257_idx5_x1851_y1801_class1.png
2001,651,1,10257_idx5_x2001_y651_class1.png
1851,851,1,10257_idx5_x1851_y851_class1.png
1651,1101,1,10257_idx5_x1651_y1101_class1.png
2001,751,1,10257_idx5_x2001_y751_class1.png
1951,651,1,10257_idx5_x1951_y651_class1.png
